Club,Club_country,League
AFC Bournemouth,England,Premier League
Arsenal FC,England,Premier League
Aston Villa,England,Premier League
Chelsea FC,England,Premier League
Crystal Palace,England,Premier League
Everton FC,England,Premier League
Leicester City,England,Premier League
Liverpool FC,England,Premier League
Manchester City,England,Premier League
Manchester United,England,Premier League
Newcastle United,England,Premier League
Norwich City,England,Premier League
Southampton FC,England,Premier League
Stoke City,England,Premier League
Sunderland AFC,England,Premier League
Swansea City,England,Premier League
Tottenham Hotspur,England,Premier League
Watford FC,England,Premier League
West Bromwich Albion,England,Premier League
West Ham United,England,Premier League
Athletic Bilbao,Spain,La Liga
Atl?tico Madrid,Spain,La Liga
Barcelona,Spain,La Liga
Celta Vigo,Spain,La Liga
Deportivo La Coru?a,Spain,La Liga
Eibar,Spain,La Liga
Espanyol,Spain,La Liga
Getafe,Spain,La Liga
Granada,Spain,La Liga
Las Palmas,Spain,La Liga
Levante,Spain,La Liga
M?laga,Spain,La Liga
Rayo Vallecano,Spain,La Liga
Real Betis,Spain,La Liga
Real Madrid,Spain,La Liga
Real Sociedad,Spain,La Liga
Sevilla,Spain,La Liga
Sporting Gij?n,Spain,La Liga
Valencia,Spain,La Liga
Villarreal,Spain,La Liga
Atalanta,Italy,Serie A
Bologna,Italy,Serie A
Carpi,Italy,Serie A
Chievo,Italy,Serie A
Empoli,Italy,Serie A
Fiorentina,Italy,Serie A
Frosinone,Italy,Serie A
Genoa,Italy,Serie A
Hellas Verona,Italy,Serie A
Internazionale,Italy,Serie A
Juventus,Italy,Serie A
Lazio,Italy,Serie A
Milan,Italy,Serie A
Napoli,Italy,Serie A
Palermo,Italy,Serie A
Roma,Italy,Serie A
Sampdoria,Italy,Serie A
Sassuolo,Italy,Serie A
Torino,Italy,Serie A
Udinese,Italy,Serie A
FC Augsburg,Germany,Bundesliga
Bayer Leverkusen,Germany,Bundesliga
Bayern Munich,Germany,Bundesliga
Borussia Dortmund,Germany,Bundesliga
Borussia M?nchengladbach,Germany,Bundesliga
Darmstadt 98,Germany,Bundesliga
Eintracht Frankfurt,Germany,Bundesliga
Hamburger SV,Germany,Bundesliga
Hannover 96,Germany,Bundesliga
Hertha BSC,Germany,Bundesliga
1899 Hoffenheim,Germany,Bundesliga
FC Ingolstadt,Germany,Bundesliga
1. FC K?ln,Germany,Bundesliga
Mainz 05,Germany,Bundesliga
Schalke 04,Germany,Bundesliga
VfB Stuttgart,Germany,Bundesliga
Werder Bremen,Germany,Bundesliga
VfL Wolfsburg,Germany,Bundesliga
Angers,France,Ligue 1
Bastia,France,Ligue 1
Bordeaux,France,Ligue 1
Caen,France,Ligue 1
Gaz?lec Ajaccio,France,Ligue 1
Guingamp,France,Ligue 1
Lille,France,Ligue 1
Lorient,France,Ligue 1
Lyon,France,Ligue 1
Marseille,France,Ligue 1
Monaco,France,Ligue 1
Montpellier,France,Ligue 1
Nantes,France,Ligue 1
Nice,France,Ligue 1
Paris Saint-Germain,France,Ligue 1
Reims,France,Ligue 1
Rennes,France,Ligue 1
Saint-?tienne,France,Ligue 1
Toulouse,France,Ligue 1
Troyes,France,Ligue 1
